study_hours,attendance,previous_marks,sleep_hours,internet_usage,extracurricular_activities,final_score
5.869021545015713,75.9540892568109,73.72569462357836,7.595795722038332,6.834312586700398,Debate,59.833361234892756
13.35928598332891,73.95909388148655,81.7842908174392,7.082247131291829,2.551477258946496,Debate,86.29362107647107
10.515921243548267,51.282103290321785,46.280413421512435,5.729107155757177,8.851551070193334,Sports,46.1208572001046
8.782560294561476,67.06239138130782,70.61681647445494,4.038786146738263,6.518046151623174,Tech Club,56.791127478115264
3.0282423257516746,69.00978093929285,67.16348890434367,6.977435331404884,2.4148349520125882,None,45.75669549198991
3.0279287643706345,69.94113904484502,84.13397449123762,5.713755931373458,9.661042517330861,None,43.259604496628
1.755086958186593,79.00861846136661,88.89565893128193,8.40764980426321,5.665289170017886,Tech Club,64.08048321420678
12.260289895074157,76.68012733634393,30.79019014603014,4.143677591622901,1.6560860668448951,Sports,54.60348517723302
8.814495152661713,80.39525463967223,73.81129473882152,7.508966867834745,6.641496139735605,Sports,72.35754101443655
10.204943511348592,88.2441630771064,33.369326942782386,9.648845425036392,3.278790163115292,Sports,55.562747545063026
1.2675984258454318,90.64928693580467,65.67581323002813,5.046455602668997,8.233241066895722,None,36.39367854344442
13.608828078105926,85.90615381132471,48.696127387839084,6.829896944503572,8.360398662095715,Debate,69.44172661966624
11.821754330405483,97.77618479774674,49.940478968939175,4.548531950902829,9.810526202691957,Sports,57.96652498561582
3.7604084388175902,50.91162913381808,52.94230272440318,7.754091473568115,5.516825779220533,None,34.75088989036391
3.3637245736923083,59.788899284177305,70.38400918822467,7.303190083577354,5.094611917549634,None,56.213039429989955
3.3842586280946394,50.37814374890711,51.71324776847,6.444193145276994,7.781280449018325,Debate,32.333047683574755
4.95514915847399,82.37373570773015,77.62543828836823,7.128262128842447,2.192235907077339,Tech Club,82.06792367559487
7.821833611219092,94.90152744749935,56.29428006230153,9.379447950814061,5.922239624138117,Tech Club,70.84502874966623
6.615285242347505,62.174114828814965,34.44295802014731,5.177765813866403,5.9162284011776585,Sports,37.55356384736565
4.785978822574545,96.35172723981533,80.94438976146697,4.135387070232083,1.8052581052934848,Sports,69.92153574196585
8.954087631390934,53.01336951447804,48.57429109852589,9.169989308194605,4.761856769562222,Debate,69.22579996414754
2.813420188476544,96.72180134027572,58.12984717395207,7.462702494327439,8.679563187104819,Sports,43.314719942540435
4.797880430957836,67.58113436198173,74.5538524094236,9.343950732771054,8.705382597951942,Debate,49.43041885814867
5.762703962817993,55.07104142246082,51.60965021466628,7.581671340479035,1.8931389842771291,None,44.957892960374444
6.928909794821467,74.29358795931628,33.678067649536516,8.860966539758214,1.8164879447304778,Sports,54.51756175239024
11.207287498109176,62.8388283860254,54.304868055832884,6.578040180130888,3.3642592930174176,None,54.916569919824724
3.5957591680586765,64.24364509809614,91.38915787512973,8.499159587729613,8.872894562985941,Music,56.62050895174155
7.685047699376951,65.36449824631433,71.71273582440628,9.478248801339136,2.1601232656614906,Debate,78.73461382067532
8.70138939520655,90.15129489163317,73.64614466336846,7.432737782333238,7.479971223647016,Music,70.79439993850707
1.6038553653599705,76.95806383376272,71.09833998644659,5.084710903374277,1.910490576517929,Sports,48.2072303984541
8.898083074718699,65.56538495780018,42.93448903236339,5.612785690181189,6.608240683730428,None,41.08545551806837
3.2168136079347898,80.51668916554593,57.19170116664821,5.191867461384435,4.204605692072303,Sports,50.259371220809406
1.8456707088086337,85.80753371115968,78.81108689361568,5.481142165574397,8.100225666692804,Music,43.60136927658632
13.335511984293332,63.63120003667669,36.58923834095535,5.8384926961062185,3.1032140394282726,Sports,68.6409938519723
13.553216429969272,70.67745507626758,48.0604304458313,7.330802720519131,6.752816464509639,Tech Club,78.84802381794331
11.509165525513994,56.09430466684738,47.96074205028049,7.527949776782997,3.1211428111829647,Music,64.38754181048589
4.959978999253819,59.05746747673402,58.08123029364289,6.558998483451167,7.4229425480093845,Sports,44.15769059621461
2.2697374820829905,84.05589269824914,93.72396816124203,7.692524678925013,8.863102311046738,None,60.23934435381671
9.89502934465804,59.071917384781344,34.38766553444842,4.489449553668195,2.14121619214084,Sports,55.47638301378424
6.721982418614817,76.258169183353,63.715564634738676,4.52672942234896,8.79936119735953,None,42.93963220410204
2.586497052982125,85.45231308612163,41.65870433079368,5.030976762145951,6.3421772897286814,Tech Club,36.61937669033274
7.437299831446513,55.34384615473719,93.09397545163337,7.108464988242068,2.1439944178032158,Sports,64.6062648055695
1.4470507744978391,78.36561098144517,37.36472780728517,5.283968072189881,4.847876698237409,Tech Club,36.84671099790639
12.821165227024167,62.82813918506819,56.23406515350343,5.699706420955464,2.447742641365881,Music,71.05650633971787
4.36413976080022,98.146343761879,77.9625240142494,6.401877017037965,7.303130999799126,None,53.834937447258966
9.612789696601766,74.17728233599624,75.79603782178394,8.871196744062278,7.8298132097615465,Music,67.58285973229374
